"Benchmark File","Input Size","RBS-ruby-141216.150957","RBS-ruby-141216.165707","RBS-ruby-141216.184041","RBS-ruby-141216.202741","RBS-ruby-141216.221503","RBS-ruby-141217.000149","RBS-ruby-141217.014822","RBS-ruby-141217.033458","RBS-ruby-141217.052815","RBS-ruby-141217.072151","RBS-ruby-141217.091533","RBS-ruby-141217.111100"
"micro-benchmarks/bm_observ.rb",100000,1.487560263,1.462994121,1.495144064,1.513811157,1.458293248,1.427209605,1.417311376,1.391891881,1.422485133,1.389095172,1.391231353,1.402782755
"micro-benchmarks/bm_open_many_files.rb",50000,0.601374141,0.600690732,0.59831278,0.606477443,0.625368644,0.638586727,0.627704873,0.596003496,0.597729023,0.588016057,0.596801411,0.597661086
"micro-benchmarks/bm_partial_sums.rb",2500000,10.922568389,10.901962193,10.792272579,10.909327499,10.897480171,10.914426244,10.845711084,11.164453606,10.878651662,10.93001943,11.14110467,10.960990997
"micro-benchmarks/bm_pi.rb",1000,0.062372434,0.066973015,0.076886216,0.068577806,0.06623957,0.061623732,0.067099344,0.061503365,0.067335224,0.065767002,0.061648489,0.061719714
"micro-benchmarks/bm_pi.rb",10000,7.095769607,7.292252899,7.411430644,7.419764066,7.399289488,7.230334512,7.244374712,7.178879863,7.540631317,7.264893517,7.231777733,7.261262788
"micro-benchmarks/bm_primes.rb",3000,0.041049014,0.039124537,0.036121561,0.040086712,0.039598702,0.035372475,0.037047051,0.035832008,0.03190129,0.040145752,0.036022707,0.03578797
"micro-benchmarks/bm_primes.rb",30000,0.443189917,0.456026671,0.446293079,0.450213982,0.440892527,0.434097659,0.440005944,0.4444805,0.450668231,0.448514153,0.444108142,0.439360919
"micro-benchmarks/bm_primes.rb",300000,4.946522121,5.13775918,5.005685764,5.03275937,4.95824239,4.811061235,4.924934947,4.941041927,5.053835508,4.979953512,4.977818613,4.944442824
"micro-benchmarks/bm_quicksort.rb",1,5.101296279,5.220534172,4.912978694,4.898512667,4.825307614,4.802538833,4.853078324,4.849962698,4.939269928,4.880088074,4.921729897,4.913661475
"micro-benchmarks/bm_read_large.rb",100,7.365390201,7.902783438,7.135382,7.107733289,7.157610581,7.157652152,7.093254305,7.088533118,7.15006274,7.404562672,7.082123701,7.112255242
"micro-benchmarks/bm_regex_dna.rb",20,7.675179394,7.672379418,7.874637878,7.879606884,8.029268701,8.011871718,7.955639639,7.942864902,7.970474547,7.988418205,7.951975776,7.940559056
"micro-benchmarks/bm_reverse_complement.rb",1,15.008607468,15.120921246,15.118042526,15.091267282,14.81668076,14.726566606,14.722387448,14.711065353,14.842632215,15.184907364,14.924538249,14.80745723
"micro-benchmarks/bm_simple_connect.rb",1,8.9513e-05,9.0572e-05,9.0016e-05,9.0051e-05,9.1566e-05,9.0594e-05,9.0874e-05,9.1368e-05,9.0978e-05,8.9879e-05,9.0039e-05,9.0088e-05
"micro-benchmarks/bm_simple_connect.rb",100,0.00414096,0.004154863,0.004149617,0.004162523,0.004443603,0.004241441,0.004127123,0.004059017,0.004128887,0.004316078,0.004147072,0.004278162
"micro-benchmarks/bm_simple_connect.rb",500,0.041201291,0.041917486,0.040850574,0.037018917,0.046619645,0.041487933,0.037152775,0.036744142,0.036940628,0.037795514,0.044966866,0.040977296
"micro-benchmarks/bm_simple_server.rb",1,8.8131e-05,8.8131e-05,8.7816e-05,9.2182e-05,8.9996e-05,9.0154e-05,8.6874e-05,8.8663e-05,8.8066e-05,9.1128e-05,8.731e-05,8.6276e-05
"micro-benchmarks/bm_simple_server.rb",100,0.000978858,0.000989086,0.000997839,0.001002891,0.001023703,0.000984945,0.000983261,0.000996752,0.000991938,0.000977785,0.00102814,0.001002046
"micro-benchmarks/bm_simple_server.rb",100000,1.808429351,1.871514651,1.881398195,1.881713612,1.920393876,1.831628982,1.820707337,1.873279459,1.850883056,1.845609628,1.947432205,1.870939222
"micro-benchmarks/bm_so_ackermann.rb",7,0.259198886,0.258741785,0.247860608,0.243087953,0.278807827,0.273492338,0.238654331,0.253071409,0.237958702,0.258495931,0.238184974,0.253717968
"micro-benchmarks/bm_so_ackermann.rb",9,4.175543905,4.141588432,3.942854486,3.952513037,4.587341435,4.388892131,3.943739146,4.179007543,3.910674273,4.183120251,3.917173194,4.152351273
"micro-benchmarks/bm_so_array.rb",9000,7.060630929,7.444562283,6.775484275,6.7709851,6.822126631,7.091824287,6.925953757,6.907298241,6.930246345,6.921362713,7.210439436,6.922109517
"micro-benchmarks/bm_so_count_words.rb",100,8.069229427,8.168745859,8.201288694,8.267291514,7.946668313,7.860977229,8.049335977,8.01444986,8.029948337,8.298035406,8.129112811,8.090609394
"micro-benchmarks/bm_so_exception.rb",500000,4.345876398,4.429908646,4.498455569,4.484232531,4.579137545,4.562993279,4.41455947,4.513454553,4.435426486,4.914173459,4.576857234,4.661905213
"micro-benchmarks/bm_so_lists.rb",1000,13.768039233,13.829855895,13.798667044,13.677399639,13.536876712,13.525669427,13.716832054,13.607068612,13.577761739,13.792738998,13.593139462,13.660175399
"micro-benchmarks/bm_so_lists_small.rb",1000,2.761378892,2.795584934,2.782232054,2.838699532,2.754968017,2.740629627,2.764816377,2.741494529,2.750034615,2.775014191,2.742476448,2.759660963
"micro-benchmarks/bm_so_matrix.rb",60,1.940804109,1.864220201,1.776934017,1.782983992,1.774297493,1.761791324,1.790328185,1.77607391,1.816211963,1.840660681,1.804568309,1.876476611
